[rosmaster.master][INFO] 2025-09-20 13:06:39,122: +SERVICE [/rosapi/service_node] /rosapi http://172.22.52.56:43967/
[rosmaster.master][INFO] 2025-09-20 13:06:39,123: +SERVICE [/rosapi/service_host] /rosapi http://172.22.52.56:43967/
[rosmaster.master][INFO] 2025-09-20 13:06:39,124: +SERVICE [/rosapi/message_details] /rosapi http://172.22.52.56:43967/
[rosmaster.master][INFO] 2025-09-20 13:06:39,125: +SERVICE [/rosapi/service_request_details] /rosapi http://172.22.52.56:43967/
[rosmaster.master][INFO] 2025-09-20 13:06:39,126: +SERVICE [/rosapi/service_response_details] /rosapi http://172.22.52.56:43967/
[rosmaster.master][INFO] 2025-09-20 13:06:39,127: +SERVICE [/rosapi/set_param] /rosapi http://172.22.52.56:43967/
[rosmaster.master][INFO] 2025-09-20 13:06:39,128: +SERVICE [/rosapi/get_param] /rosapi http://172.22.52.56:43967/
[rosmaster.master][INFO] 2025-09-20 13:06:39,129: +SERVICE [/rosapi/has_param] /rosapi http://172.22.52.56:43967/
[rosmaster.master][INFO] 2025-09-20 13:06:39,129: +SERVICE [/rosapi/search_param] /rosapi http://172.22.52.56:43967/
[rosmaster.master][INFO] 2025-09-20 13:06:39,130: +SERVICE [/rosapi/delete_param] /rosapi http://172.22.52.56:43967/
[rosmaster.master][INFO] 2025-09-20 13:06:39,131: +SERVICE [/rosapi/get_param_names] /rosapi http://172.22.52.56:43967/
[rosmaster.master][INFO] 2025-09-20 13:06:39,132: +SERVICE [/rosapi/get_time] /rosapi http://172.22.52.56:43967/
[rosmaster.master][INFO] 2025-09-20 13:06:39,133: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://172.22.52.56:43967/
[rosmaster.master][INFO] 2025-09-20 13:06:39,134: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-09-20 13:06:39,318: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-09-20 13:06:39,479: +PUB [/rosout] /rosbridge_websocket http://172.22.52.56:45985/
[rosmaster.master][INFO] 2025-09-20 13:06:39,483: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://172.22.52.56:45985/
[rosmaster.master][INFO] 2025-09-20 13:06:39,484: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://172.22.52.56:45985/
[rosmaster.master][INFO] 2025-09-20 13:06:39,495: +PUB [/client_count] /rosbridge_websocket http://172.22.52.56:45985/
[rosmaster.master][INFO] 2025-09-20 13:06:39,496: +PUB [/connected_clients] /rosbridge_websocket http://172.22.52.56:45985/
[rosmaster.master][INFO] 2025-09-20 13:06:39,498: +PARAM [/rosbridge_websocket/actual_port] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-20 13:06:39,501: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-20 13:06:39,508: publisherUpdate[/rosout] -> http://172.22.52.56:44293/ ['http://172.22.52.56:43967/', 'http://172.22.52.56:45985/']
[rosmaster.master][INFO] 2025-09-20 13:06:39,512: publisherUpdate[/rosout] -> http://172.22.52.56:44293/ ['http://172.22.52.56:43967/', 'http://172.22.52.56:45985/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-20 13:07:38,979: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-20 13:07:38,982: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-20 13:07:38,985: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-20 13:07:38,987: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-20 13:07:38,990: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-20 13:07:38,992: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-20 13:07:38,994: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-20 13:07:39,983: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-20 13:07:40,297: +PUB [/clock] /rosbridge_websocket http://172.22.52.56:45985/
[rosmaster.master][INFO] 2025-09-20 13:07:40,367: +PUB [/tf] /rosbridge_websocket http://172.22.52.56:45985/
[rosmaster.master][INFO] 2025-09-20 13:07:40,568: +PUB [/Competition_topic] /rosbridge_websocket http://172.22.52.56:45985/
[rosmaster.master][INFO] 2025-09-20 13:07:40,579: +PUB [/CollisionData] /rosbridge_websocket http://172.22.52.56:45985/
[rosmaster.master][INFO] 2025-09-20 13:07:40,586: +PUB [/Object_topic] /rosbridge_websocket http://172.22.52.56:45985/
[rosmaster.master][INFO] 2025-09-20 13:07:40,594: +PUB [/Ego_topic] /rosbridge_websocket http://172.22.52.56:45985/
[rosmaster.master][INFO] 2025-09-20 13:07:40,974: +SUB [/ctrl_cmd] /rosbridge_websocket http://172.22.52.56:45985/
[rosmaster.master][INFO] 2025-09-20 13:07:40,979: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-20 13:07:41,028: +SERVICE [/Service_MoraiEventCmd] /rosbridge_websocket http://172.22.52.56:45985/
[rosmaster.master][INFO] 2025-09-20 13:07:41,029: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-20 13:09:07,643: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-20 13:09:08,702: +PUB [/image_jpeg/compressed] /rosbridge_websocket http://172.22.52.56:45985/
[rosmaster.master][INFO] 2025-09-20 13:10:37,920: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-20 13:10:38,761: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-20 13:10:44,483: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-20 13:10:45,269: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-20 13:11:52,110: +PUB [/rosout] /rostopic_5395_1758341511999 http://172.22.52.56:43611/
